Activity type;Duration;From;To;Comment
Sport;3,2;24 Jan 08:29;24 Jan 11:42;
Housework;0,2;24 Jan 08:18;24 Jan 08:29;
Yoga;0,1;24 Jan 07:59;24 Jan 08:07;
Read;0,5;24 Jan 07:30;24 Jan 07:59;
Entertainment;0,3;24 Jan 07:12;24 Jan 07:30;
Entertainment;0,6;23 Jan 23:00;23 Jan 23:39;
Yoga;0,1;23 Jan 22:04;23 Jan 22:12;
Entertainment;0,8;23 Jan 21:18;23 Jan 22:04;
Sport;0,3;23 Jan 19:56;23 Jan 20:15;
Housework;0,1;23 Jan 19:52;23 Jan 19:56;
Entertainment;1,1;23 Jan 18:45;23 Jan 19:52;
Housework;0,3;23 Jan 18:24;23 Jan 18:45;
Sport;3,0;23 Jan 15:27;23 Jan 18:24;
Entertainment;1,4;23 Jan 14:05;23 Jan 15:27;
Coding;0,5;23 Jan 13:31;23 Jan 13:59;
Entertainment;0,7;23 Jan 12:50;23 Jan 13:31;
Internet;0,2;23 Jan 12:37;23 Jan 12:50;
Housework;0,7;23 Jan 11:52;23 Jan 12:36;
Yoga;0,1;23 Jan 11:44;23 Jan 11:52;
Housework;0,0;23 Jan 11:44;23 Jan 11:44;
Coding;0,2;23 Jan 11:34;23 Jan 11:44;
Sport;1,4;23 Jan 10:08;23 Jan 11:34;
Entertainment;1,4;23 Jan 08:44;23 Jan 10:08;
Housework;0,3;23 Jan 08:23;23 Jan 08:44;
Music;0,0;22 Jan 21:44;22 Jan 21:44;
Housework;0,3;22 Jan 17:01;22 Jan 17:21;
Work;5,7;22 Jan 11:19;22 Jan 17:01;
Housework;0,6;22 Jan 10:45;22 Jan 11:19;
Read;0,6;22 Jan 10:12;22 Jan 10:45;
Sport;1,1;22 Jan 09:07;22 Jan 10:11;
Yoga;0,2;22 Jan 08:56;22 Jan 09:06;
Sport;0,1;22 Jan 08:42;22 Jan 08:49;
Entertainment;0,6;22 Jan 08:08;22 Jan 08:42;
Read;0,7;22 Jan 07:28;22 Jan 08:08;
Yoga;0,2;21 Jan 22:05;21 Jan 22:14;
Sport;0,4;21 Jan 21:14;21 Jan 21:37;
Entertainment;1,1;21 Jan 20:06;21 Jan 21:14;
Housework;0,1;21 Jan 20:01;21 Jan 20:06;
Walking;0,2;21 Jan 19:45;21 Jan 20:00;
Coding;1,4;21 Jan 14:34;21 Jan 16:00;
Work;2,0;21 Jan 12:35;21 Jan 14:34;
Entertainment;0,4;21 Jan 12:11;21 Jan 12:35;
Work;0,3;21 Jan 11:51;21 Jan 12:11;
Walking;0,3;21 Jan 11:31;21 Jan 11:51;
Work;3,5;21 Jan 07:55;21 Jan 11:23;
Housework;0,1;21 Jan 07:48;21 Jan 07:55;
Yoga;0,2;21 Jan 06:50;21 Jan 07:01;
Work;0,4;20 Jan 22:00;20 Jan 22:26;
Yoga;0,2;20 Jan 21:49;20 Jan 21:58;
